"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility"
"2025-01-02","ZEB","","","",0,"",0,3,41.95,42.12,2,2,42.07,1121454,42.16,-0.09,0,42.135,0,47268237,1412,0,0,0
"2025-01-02","ZEB   250103C41.00","ZEB","ZEB","ZEB",41,"2025-01-03",0,0,0.97,1.21,136,45,1.21,0,1.31,0,0,0,0,0,0,1.21,0,32.846
"2025-01-02","ZEB   250103C41.25","ZEB","ZEB","ZEB",41.25,"2025-01-03",0,0,0.72,0.96,136,45,0.96,0,1.06,0,0,0,0,0,0,0.96,0,26.702
"2025-01-02","ZEB   250103C41.50","ZEB","ZEB","ZEB",41.5,"2025-01-03",0,0,0.4,0.83,111,10,0.83,0,0.89,0,0,0,0,0,0,0.83,0,25.753
"2025-01-02","ZEB   250103C41.75","ZEB","ZEB","ZEB",41.75,"2025-01-03",0,0,0.21,0.51,11,20,0.51,0,0.62,0,0,0,0,0,0,0.51,0,17.063
"2025-01-02","ZEB   250103C42.00","ZEB","ZEB","ZEB",42,"2025-01-03",0,0,0,0.26,0,21,0.26,0,0.34,0,0,0,0,0,0,0.26,0,10.408
"2025-01-02","ZEB   250103C42.25","ZEB","ZEB","ZEB",42.25,"2025-01-03",0,0,0,0.5,0,73,0.5,0,0.23,0,0,0,0,0,0,0.5,0,37.79
"2025-01-02","ZEB   250103C42.50","ZEB","ZEB","ZEB",42.5,"2025-01-03",0,0,0,0.5,0,70,0.5,0,0.21,0,0,0,0,0,0,0.5,0,48.893
"2025-01-02","ZEB   250103C42.75","ZEB","ZEB","ZEB",42.75,"2025-01-03",0,0,0,0.5,0,70,0.5,0,0.25,0,0,0,0,0,0,0.5,0,58.865
"2025-01-02","ZEB   250103C43.00","ZEB","ZEB","ZEB",43,"2025-01-03",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,34.012
"2025-01-02","ZEB   250103C43.25","ZEB","ZEB","ZEB",43.25,"2025-01-03",0,0,0,0.11,0,45,0.11,0,0.08,0,0,0,0,0,0,0.11,0,44.023
"2025-01-02","ZEB   250103C43.50","ZEB","ZEB","ZEB",43.5,"2025-01-03",0,0,0,0.11,0,45,0.11,0,0.08,0,0,0,0,0,0,0.11,0,50.413
"2025-01-02","ZEB   250103C43.75","ZEB","ZEB","ZEB",43.75,"2025-01-03",0,0,0,0.11,0,45,0.11,0,0.08,0,0,0,0,0,0,0.11,0,56.55
"2025-01-02","ZEB   250103C44.00","ZEB","ZEB","ZEB",44,"2025-01-03",0,0,0,0.08,0,10,0.08,0,0.16,0,0,0,0,0,0,0.08,0,57.915
"2025-01-02","ZEB   250103C44.25","ZEB","ZEB","ZEB",44.25,"2025-01-03",0,0,0,0.08,0,10,0.08,0,0.16,0,0,0,0,0,0,0.08,0,63.487
"2025-01-02","ZEB   250110C41.00","ZEB","ZEB","ZEB",41,"2025-01-10",0,0,0.95,1.25,136,10,1.25,0,1.37,0,0,0,0,0,0,1.25,0,13.386
"2025-01-02","ZEB   250110C41.25","ZEB","ZEB","ZEB",41.25,"2025-01-10",0,0,0.77,1,111,10,1,0,1.12,0,0,0,0,0,0,1,0,13.529
"2025-01-02","ZEB   250110C41.50","ZEB","ZEB","ZEB",41.5,"2025-01-10",0,0,0.54,0.78,111,10,0.78,0,0.88,0,0,0,0,0,0,0.78,0,12.099
"2025-01-02","ZEB   250110C41.75","ZEB","ZEB","ZEB",41.75,"2025-01-10",0,0,0.33,0.56,11,20,0.56,0,0.65,0,0,0,0,0,0,0.56,0,10.489
"2025-01-02","ZEB   250110C42.00","ZEB","ZEB","ZEB",42,"2025-01-10",0,0,0.15,0.4,12,71,0.4,0,0.48,0,0,0,0,0,0,0.4,0,9.773
"2025-01-02","ZEB   250110C42.25","ZEB","ZEB","ZEB",42.25,"2025-01-10",0,0,0.04,0.27,12,73,0.27,0,0.34,0,0,0,0,0,0,0.27,3,9.523
"2025-01-02","ZEB   250110C42.50","ZEB","ZEB","ZEB",42.5,"2025-01-10",0,0,0.01,0.17,49,73,0.17,0,0.23,0,0,0,0,0,0,0.17,0,10.022
"2025-01-02","ZEB   250110C42.75","ZEB","ZEB","ZEB",42.75,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.13,0,0,0,0,0,0,0.08,0,9.74
"2025-01-02","ZEB   250110C43.00","ZEB","ZEB","ZEB",43,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,12.088
"2025-01-02","ZEB   250110C43.25","ZEB","ZEB","ZEB",43.25,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,14.316
"2025-01-02","ZEB   250110C43.50","ZEB","ZEB","ZEB",43.5,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,16.464
"2025-01-02","ZEB   250110C43.75","ZEB","ZEB","ZEB",43.75,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,18.524
"2025-01-02","ZEB   250110C44.00","ZEB","ZEB","ZEB",44,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,20.533
"2025-01-02","ZEB   250110C44.25","ZEB","ZEB","ZEB",44.25,"2025-01-10",0,0,0,0.08,0,10,0.08,0,0.08,0,0,0,0,0,0,0.08,0,22.491
"2025-01-02","ZEB   250124C41.00","ZEB","ZEB","ZEB",41,"2025-01-24",0,0,1.06,1.39,146,10,1.39,0,1.56,0,0,0,0,0,0,1.39,0,13.537
"2025-01-02","ZEB   250124C41.25","ZEB","ZEB","ZEB",41.25,"2025-01-24",0,0,0.84,1.15,56,10,1.15,0,1.34,0,0,0,0,0,0,1.15,0,12.216
"2025-01-02","ZEB   250124C41.50","ZEB","ZEB","ZEB",41.5,"2025-01-24",0,0,0.7,0.97,21,10,0.97,0,1.13,0,0,0,0,0,0,0.97,0,12.608
"2025-01-02","ZEB   250124C41.75","ZEB","ZEB","ZEB",41.75,"2025-01-24",0,0,0.5,0.78,21,20,0.78,0,0.94,0,0,0,0,0,0,0.78,0,11.611
"2025-01-02","ZEB   250124C42.00","ZEB","ZEB","ZEB",42,"2025-01-24",0,0,0.3,0.62,22,21,0.62,0,0.77,0,0,0,0,0,0,0.62,0,10.583
"2025-01-02","ZEB   250124C42.25","ZEB","ZEB","ZEB",42.25,"2025-01-24",0,0,0.21,0.48,22,21,0.48,0,0.61,0,0,0,0,0,0,0.48,0,10.623
"2025-01-02","ZEB   250124C42.50","ZEB","ZEB","ZEB",42.5,"2025-01-24",0,0,0.1,0.36,24,23,0.36,0,0.48,0,0,0,0,0,0,0.36,0,10.084
"2025-01-02","ZEB   250124C42.75","ZEB","ZEB","ZEB",42.75,"2025-01-24",0,0,0.02,0.27,24,23,0.27,0,0.38,0,0,0,0,0,0,0.27,0,9.683
"2025-01-02","ZEB   250124C43.00","ZEB","ZEB","ZEB",43,"2025-01-24",0,0,0.01,0.18,56,20,0.18,0,0.31,0,0,0,0,0,0,0.18,15000,9.716
"2025-01-02","ZEB   250124C43.25","ZEB","ZEB","ZEB",43.25,"2025-01-24",0,0,0.01,0.11,21,20,0.11,0,0.23,0,0,0,0,0,0,0.11,0,9.748
"2025-01-02","ZEB   250124C43.50","ZEB","ZEB","ZEB",43.5,"2025-01-24",0,0,0,0.19,0,45,0.19,0,0.15,0,0,0,0,0,0,0.19,0,12.761
"2025-01-02","ZEB   250124C43.75","ZEB","ZEB","ZEB",43.75,"2025-01-24",0,0,0,0.1,0,10,0.1,0,0.1,0,0,0,0,0,0,0.1,15000,11.878
"2025-01-02","ZEB   250124C44.00","ZEB","ZEB","ZEB",44,"2025-01-24",0,0,0,0.1,0,10,0.1,0,0.21,0,0,0,0,0,0,0.1,0,13.126
"2025-01-02","ZEB   250124C44.25","ZEB","ZEB","ZEB",44.25,"2025-01-24",0,0,0,0.1,0,10,0.1,0,0.21,0,0,0,0,0,0,0.1,0,14.351
"2025-01-02","ZEB   250131C41.00","ZEB","ZEB","ZEB",41,"2025-01-31",0,0,1.13,1.44,11,45,1.44,0,1.54,0,0,0,0,0,0,1.44,0,13.6
"2025-01-02","ZEB   250131C41.25","ZEB","ZEB","ZEB",41.25,"2025-01-31",0,0,0.91,1.24,11,75,1.24,0,1.33,0,0,0,0,0,0,1.24,0,12.801
"2025-01-02","ZEB   250131C41.50","ZEB","ZEB","ZEB",41.5,"2025-01-31",0,0,0.65,1.04,56,75,1.04,0,1.12,0,0,0,0,0,0,1.04,0,11.326
"2025-01-02","ZEB   250131C41.75","ZEB","ZEB","ZEB",41.75,"2025-01-31",0,0,0.5,0.85,56,55,0.85,0,0.93,0,0,0,0,0,0,0.85,0,10.972
"2025-01-02","ZEB   250131C42.00","ZEB","ZEB","ZEB",42,"2025-01-31",0,0,0.3,0.67,57,76,0.67,0,0.76,0,0,0,0,0,0,0.67,0,9.826
"2025-01-02","ZEB   250131C42.25","ZEB","ZEB","ZEB",42.25,"2025-01-31",0,0,0.2,0.54,22,76,0.54,0,0.6,0,0,0,0,0,0,0.54,0,9.855
"2025-01-02","ZEB   250131C42.50","ZEB","ZEB","ZEB",42.5,"2025-01-31",0,0,0.09,0.42,24,56,0.42,0,0.47,0,0,0,0,0,0,0.42,0,9.413
"2025-01-02","ZEB   250131C42.75","ZEB","ZEB","ZEB",42.75,"2025-01-31",0,0,0.02,0.29,24,58,0.29,0,0.37,0,0,0,0,0,0,0.29,0,8.745
"2025-01-02","ZEB   250131C43.00","ZEB","ZEB","ZEB",43,"2025-01-31",0,0,0.01,0.23,59,58,0.23,0,0.3,0,0,0,0,0,0,0.23,0,9.287
"2025-01-02","ZEB   250131C43.25","ZEB","ZEB","ZEB",43.25,"2025-01-31",0,0,0.01,0.18,49,55,0.18,0,0.25,0,0,0,0,0,0,0.18,0,9.855
"2025-01-02","ZEB   250131C43.50","ZEB","ZEB","ZEB",43.5,"2025-01-31",0,0,0,0.14,0,20,0.14,0,0.19,0,0,0,0,0,0,0.14,0,10.157
"2025-01-02","ZEB   250131C43.75","ZEB","ZEB","ZEB",43.75,"2025-01-31",0,0,0,0.1,0,10,0.1,0,0.13,0,0,0,0,0,0,0.1,0,10.374
"2025-01-02","ZEB   250131C44.00","ZEB","ZEB","ZEB",44,"2025-01-31",0,0,0,0.1,0,10,0.1,0,0.1,0,0,0,0,0,0,0.1,0,11.468
"2025-01-02","ZEB   250131C44.25","ZEB","ZEB","ZEB",44.25,"2025-01-31",0,0,0,0.1,0,10,0.1,0,0.1,0,0,0,0,0,0,0.1,0,12.526
"2025-01-02","ZEB   250207C41.25","ZEB","ZEB","ZEB",41.25,"2025-02-07",0,0,0.9,1.21,56,45,1.21,0,1.36,0,0,0,0,0,0,1.21,0,11.162
"2025-01-02","ZEB   250207C41.50","ZEB","ZEB","ZEB",41.5,"2025-02-07",0,0,0.75,1.01,56,45,1.01,0,1.16,0,0,0,0,0,0,1.01,0,10.987
"2025-01-02","ZEB   250207C41.75","ZEB","ZEB","ZEB",41.75,"2025-02-07",0,0,0.58,0.86,56,55,0.86,0,0.98,0,0,0,0,0,0,0.86,0,10.81
"2025-01-02","ZEB   250207C42.00","ZEB","ZEB","ZEB",42,"2025-02-07",0,0,0.42,0.68,56,55,0.68,0,0.81,0,0,0,0,0,0,0.68,0,10.127
"2025-01-02","ZEB   250207C42.25","ZEB","ZEB","ZEB",42.25,"2025-02-07",0,0,0.29,0.55,21,55,0.55,0,0.66,0,0,0,0,0,0,0.55,0,9.867
"2025-01-02","ZEB   250207C42.50","ZEB","ZEB","ZEB",42.5,"2025-02-07",0,0,0.17,0.43,21,57,0.43,0,0.53,0,0,0,0,0,0,0.43,0,9.417
"2025-01-02","ZEB   250207C42.75","ZEB","ZEB","ZEB",42.75,"2025-02-07",0,0,0.07,0.34,23,57,0.34,22,0.41,-0.22,0.19,0.19,0.19,3,2,0.34,0,9.044
"2025-01-02","ZEB   250207C43.00","ZEB","ZEB","ZEB",43,"2025-02-07",0,0,0.01,0.26,58,57,0.26,0,0.33,0,0,0,0,0,0,0.26,0,8.775
"2025-01-02","ZEB   250207C43.25","ZEB","ZEB","ZEB",43.25,"2025-02-07",0,0,0.01,0.18,48,55,0.18,0,0.26,0,0,0,0,0,0,0.18,0,8.879
"2025-01-02","ZEB   250214C41.25","ZEB","ZEB","ZEB",41.25,"2025-02-14",0,0,0.93,1.34,46,95,1.34,0,0,0,0,0,0,0,0,1.34,0,11.909
"2025-01-02","ZEB   250214C41.50","ZEB","ZEB","ZEB",41.5,"2025-02-14",0,0,0.75,1.12,46,95,1.12,0,0,0,0,0,0,0,0,1.12,0,11.168
"2025-01-02","ZEB   250214C41.75","ZEB","ZEB","ZEB",41.75,"2025-02-14",0,0,0.6,0.93,46,95,0.93,0,0,0,0,0,0,0,0,0.93,0,10.768
"2025-01-02","ZEB   250214C42.00","ZEB","ZEB","ZEB",42,"2025-02-14",0,0,0.41,0.76,46,95,0.76,0,0,0,0,0,0,0,0,0.76,0,9.941
"2025-01-02","ZEB   250214C42.25","ZEB","ZEB","ZEB",42.25,"2025-02-14",0,0,0.3,0.61,11,95,0.61,0,0,0,0,0,0,0,0,0.61,0,9.7
